timesteps, particles, proc, time
1000000, 6912, 24, 6500
1000000, 6912, 48, 3269
1000000, 6912, 72, 1702
1000000, 6912, 120, 1295
1000000, 6912, 240, 652
1000000, 6912, 360, 393
200000, 6912, 24, 1308
200000, 6912, 48, 710
200000, 6912, 72, 388
200000, 6912, 120, 319
200000, 6912, 240, 157
200000, 6912, 360, 105
200000, 500, 24, 201
200000, 500, 48, 163
200000, 500, 72, 159
200000, 500, 120, 149
200000, 500, 240, 144
200000, 500, 360,  140
50000, 500, 24, 223
50000, 500, 48, 129
50000, 500, 72, 98
50000, 500, 120, 39
50000, 500, 240, 38
50000, 500, 360, 37
