particles, corr, timesteps, nodes, script, id, time
500, 1000, 100000, 1, ns14, 83014, 101
500, 1000, 100000, 2, ns15, 83015, 84
500, 1000, 100000, 3, ns16, 83016, 77
500, 1000, 100000, 5, ns17, 83013, 74
500, 1000, 100000, 10, ns18, 83010, 72
500, 1000, 100000, 15, ns19, 83008, 69
500, 1000, 75000, 1, ns20, 83017, 77
500, 1000, 75000, 2, ns21, 83018, 64
500, 1000, 75000, 3, ns22, 83020, 60
500, 1000, 75000, 5, ns23, 83012, 56
500, 1000, 75000, 10, ns24, 83011, 54
500, 1000, 75000, 15, ns25, 83007, 57
500, 5000, 200000, 1, ns14, 83348, 535
500, 5000, 200000, 2, ns15, 83346, 330
500, 5000, 200000, 3, ns16, 83341, 274
500, 5000, 200000, 5, ns17, 83295, 209
500, 5000, 200000, 10, ns18, 84007, 
500, 5000, 200000, 15, ns19, 83297, 156
500, 5000, 50000, 1, ns20, 83349, 69
500, 5000, 50000, 2, ns21, 83347, 83
500, 5000, 50000, 3, ns22, 83344, 67
500, 5000, 50000, 5, ns23, 83298, 54
500, 5000, 50000, 10, ns24, 83299, 45
500, 5000, 50000, 15, ns25, 83300, 42
500, 10000, 200000, 1, ns14, 83358, 938
500, 10000, 200000, 2, ns15, 83355, 535
500, 10000, 200000, 3, ns16, 83351, 401
500, 10000, 200000, 5, ns17, 83302, 290    
500, 10000, 200000, 10, ns18, 83305, 209    
500, 10000, 200000, 15, ns19, 83303, 182
500, 10000, 50000, 1, ns20, 83357, 223
500, 10000, 50000, 2, ns21, 83354, 131
500, 10000, 50000, 3, ns22, 83350, 98
500, 10000, 50000, 5, ns23, 83306, 73    
500, 10000, 50000, 10, ns24, 83304, 54    
500, 10000, 50000, 15, ns25, 84006, 18 
6912, 1000, 50000, 1, ns02, 82990, 1855
6912, 1000, 50000, 2, ns03, 82991, 991
6912, 1000, 50000, 3, ns04, 82992, 673
6912, 1000, 50000, 5, ns05, 83003, 563
6912, 1000, 50000, 10, ns06, 83002, 342
6912, 1000, 50000, 15, ns07, 83001, 180
6912, 1000, 100000, 1, ns08, 83073, 518
6912, 1000, 100000, 2, ns09, 83074, 336
6912, 1000, 100000, 3, ns10, 83075, 267
6912, 1000, 100000, 5, ns11, 83076, 
6912, 1000, 100000, 10, ns12, 83005, 109
6912, 1000, 100000, 15, ns13, 83004, 75
6912, 5000, 1000000, 1, ns02, 83249, 26125
6912, 5000, 1000000, 2, ns03, 83250, 13037
6912, 5000, 1000000, 3, ns04, 83274, 8769
6912, 5000, 1000000, 5, ns05, 83229, 4454
6912, 5000, 1000000, 10, ns06, 83243, 2314
6912, 5000, 1000000, 15, ns07, 83294, 1156
6912, 5000, 200000, 1, ns08, 83275, 3599
6912, 5000, 200000, 2, ns09, 83284, 1854
6912, 5000, 200000, 3, ns10, 83286, 1269
6912, 5000, 200000, 5, ns11, 83288, 692
6912, 5000, 200000, 10, ns12, 83292, 402
6912, 5000, 200000, 15, ns13, 83293, 224
6912, 10000, 1000000, 1, ns02, 83911, 42446
6912, 10000, 1000000, 2, ns03, 83328, 27813
6912, 10000, 1000000, 3, ns04, 83959, 14194
6912, 10000, 1000000, 5, ns05, 83312, 9396
6912, 10000, 1000000, 10, ns06, 83310, 4745
6912, 10000, 1000000, 15, ns07, 83308, 2376
6912, 10000, 200000, 1, ns08, 83327, 7903
6912, 10000, 200000, 2, ns09, 83325, 4010
6912, 10000, 200000, 3, ns10, 83313, 2736
6912, 10000, 200000, 5, ns11, 83311, 1401
6912, 10000, 200000, 10, ns12, 83309, 759
6912, 10000, 200000, 15, ns13, 83307, 397
