timesteps, particles, proc, time
1000000, 6912, 24, 5384
1000000, 6912, 48, 1412
1000000, 6912, 72, 1926
1000000, 6912, 120, 527
1000000, 6912, 240, 581
1000000, 6912, 360, 330
200000, 6912, 24, 742
200000, 6912, 48, 409
200000, 6912, 72, 315
200000, 6912, 120, 219
200000, 6912, 240, 165
200000, 6912, 360, 113
200000, 500, 24, 202
200000, 500, 48, 163
200000, 500, 72, 157
200000, 500, 120, 143
200000, 500, 240, 136
200000, 500, 360, 142
50000, 500, 24, 52
50000, 500, 48, 44
50000, 500, 72, 98
50000, 500, 120, 39
50000, 500, 240, 38
50000, 500, 360, 37
500000, 6912, 24, 1855
500000, 6912, 48, 991
500000, 6912, 72, 673
500000, 6912, 120, 563
500000, 6912, 240, 342
500000, 6912, 360, 180
100000, 6912, 24, 518
100000, 6912, 48, 336
100000, 6912, 72, 267
100000, 6912, 120, 109
100000, 6912, 240, 109
100000, 6912, 360, 75
100000, 500, 24, 101
100000, 500, 48, 84
100000, 500, 72, 77
100000, 500, 120, 74
100000, 500, 240, 72
100000, 500, 360, 69
75000, 500, 24, 77
75000, 500, 48, 64
75000, 500, 72, 60
75000, 500, 120, 56
75000, 500, 240, 54
75000, 500, 360, 57
